"Metoph Architects & Interiors","","","REVISED INTERIOR ESTIMATE FOR MS.RINKI SINGH,                                                                             SECT-132,GR.NOIDA  (07/10/2023)","","","","","","","","",""
"","","","","","","","","","","","",""
"(A)","150 mm dia","Each","per  pcs","25","15625","390625","","","","","",""
"(B)","100 mm dia","Each","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"32","Providing,  fixing, testing & commissioning  of MS air cushion  tank on top of each riser fabricated from 8mm thick MS plate,250 mm in diameter and 1.2 m in height  with dished  ends fabricated  from 10mm  thick MS sheet,2coats  of synthetic  enamel  paint over a coat of primer    with   Air release   valve with stop cock, flanged  inlet connection  and  drain arrangement  with 25mm  dia valve, pressure guage with gun metal stop cock complete with all accessories as required.","Each","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"32","Providing & Fixing Nipple Down Complete in all respect.","","per  pcs","25","15625","390625","","","","","",""
"","500mm dia","Nos.","per  pcs","25","15625","390625","","","","","",""
"","700mm dia","Nos.","per  pcs","25","15625","390625","","","","","",""
"","900mm dia","Nos.","per  pcs","25","15625","390625","","","","","",""
"","1200mm dia","Nos.","per  pcs","25","15625","390625","","","","","",""
"","1500mm dia","Nos.","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"37","Providing  & Fixing of installation  control valve with turbine  type automatic Alarm Gong to be connected with control valve, drain & test valve all flanged connections as per manufacturer's specifications complete. (Make : Kirloskar)","","per  pcs","25","15625","390625","","","","","",""
"","150mm dia","Each","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"22","Providing and fixing inspectors test assembly complete with test valve, sight glass sectional drain valve, union with corrosion resistant orifice all complete strictly as per drawing. (Make: Zoloto)","","per  pcs","25","15625","390625","","","","","",""
"","25 mm dia","Nos.","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"31","Supply, Erection, Testing & commissioniing of firemans axe with heavy rubber handle .","Each","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"","","","per  pcs","25","15625","390625","","","","","",""
"14","ALARM SYSTEM WORK","","","","","","","","","","",""
"a","Providing & fixing ISI marked fire extinguishers of ABC type of 4 Kg. capacities complete with horn and value with initial charge as required. ISI mark. (Make: Guarsd / Safe Guards/ Life Guards/ Lightex/ Superex/ Safex).","","per  pcs","4","2500","10000","","","","","",""
"b","Supplying and drawing of PVC  insulated   Copper  conductor 2C 1.5 sq. mm including terminating  connection etc. as required                                                                                                                                                                                                                                                                                                                                                                         (Make : Polycap).","","MTRS.","410","160","65600","","","","","",""
"c","Providing & fixing manual call box 16 guage in 100 x 100 mm enclosure with arrangement to raise the alarm when the glazz in manually broken complete as required including hammer.                                                                                                                                                                                ( Make : Agni Protection).","","per  pcs","2","1050","2100","","","","","",""
"d","Providing & fixing of DUAL / tone electric fire hooter suitable for wall mounting inside the building for localized warming range of hooter shall be 80 dB  to 120 dB.                                                                                                                                                                                                                                                    ( Make : Agni Protection).","","per  pcs","2","1050","2100","","","","","",""
"e","P/F Heat Detectors with base Complete in all respect.                                                                                                                                                                                                      (Make:  Agni Protection)","","per  pcs","18","1995","35910","","","","","",""
"f","P/F Smoke Detectors with base Complete in all respect.                                                                                                                                                                                   (Make:  Agni Protection)","","per  pcs","18","2200","39600","","","","","",""
"TOTAL  (K)","","","","","","268035","","","","","",""
"GRAND TOTAL  (A TO K )","","","","","","7234785.00","","","","","",""
"OTHER TERMS AND CONDITIONS-","","","","","","","","","","","",""
"1. Payment needed to be done in phases -                                                                                                                                                                                                                                                                                                                                                                                                                                                  30% Advance , 20% after delivery of material on site (with in initial 20 days), Remaining 15% -15% - 15% progressively every  20 days , 5% at the time of finishing.","","","","","","","","","","","",""
"2. Excluding items or works from our estimate and scope of works. ( i.e.TV ,Decor items,Projector,IT Server,paintings,planters,Wall Art,Ceiling and walls Fans,Signage ,Logo,Wall Graphics, Decortive lights,Signage kitchen's Appliances, Electrical fixtures like - chandelier,decorative lights,geyser,fans, curtains,WIFI internet routers.","","","","","","","","","","","",""
"3. Extra Items from our estimate or scope of work will be chareged Saperately. (after approval)","","","","","","","","","","","",""
"4. Estimated Project completion time 3 to 4 months .","","","","","","","","","","","",""
"5.18% GST will be extra on Bill and 28% gst on AHU Unit + Split Ac","","","","","","","","","","","",""
"6. above estimate is based on your shared layout if design and layouts and quantity wil be change then the cost will be revised as /3D or layouts.","","","","","","","","","","","",""
"","","","","","","","","","","","",""
